Recency,Frequency,Monetary,Cluster
37,86,5732.93,RISK
26,265,5725.47,NEW
163,84,5719.82,RISK
4,156,5683.15,NEW
23,245,5655.99,NEW
12,404,5655.91,NEW
3,317,5655.03,NEW
1,66,5647.07,NEW
17,478,5578.72,NEW
31,221,5575.56,NEW
5,190,5519.58,NEW
15,385,5508.85,NEW
12,281,5504.19,NEW
15,276,5493.46,NEW
23,299,5488.18,NEW
3,267,5474.96,NEW
17,120,5464.12,NEW
9,258,5447,NEW
4,159,5425.56,NEW
9,144,5398.3,NEW
38,274,5396.04,NEW
2,456,5369.47,NEW
26,162,5360.63,NEW
1,698,5300.94,NEW
3,218,5298.48,NEW
17,341,5291.33,NEW
74,99,5232.23,RISK
44,242,5228.05,NEW
45,135,5203.51,RISK
3,292,5188.81,NEW
3,134,5180.52,NEW
17,301,5159.06,NEW
11,1146,5152.97,NEW
8,305,5134.12,NEW
10,74,5126.76,NEW
2,268,5122.74,NEW
9,201,5090.42,NEW
16,170,5064.94,NEW
2,551,5054.42,NEW
8,271,5037.26,NEW
33,931,5030.07,NEW
10,235,5010.28,NEW
4,419,5006.77,NEW
1,303,4991.85,NEW
17,258,4975.24,NEW
15,196,4921.04,NEW
46,266,4919,RISK
7,695,4910.6,NEW
6,180,4904.41,NEW
16,27,4892.24,NEW
8,100,4871.93,NEW
25,259,4867.72,NEW
1,229,4797.08,NEW
2,91,4777.18,NEW
13,465,4767.36,NEW
1,180,4757.16,NEW
10,271,4745.69,NEW
9,294,4739.61,NEW
2,259,4684.76,NEW
2,140,4656.72,NEW
20,1175,4630.35,NEW
24,280,4628.75,NEW
139,60,4599.42,RISK
43,171,4582.64,RISK
11,228,4546.77,NEW
23,306,4544.55,NEW
19,159,4482.77,NEW
24,224,4481.67,NEW
1,406,4462.68,NEW
88,400,4459.52,RISK
10,257,4418.87,NEW
1,179,4413.1,NEW
64,120,4405.88,RISK
5,845,4402.82,NEW
2,175,4402.3,NEW
3,508,4397.3,NEW
12,272,4385.99,NEW
51,208,4376.58,RISK
22,249,4345.5,NEW
2,256,4342.84,NEW
26,101,4339.5,NEW
87,16,4314.72,RISK
9,43,4301.22,NEW
30,234,4278.6,NEW
16,390,4274.16,NEW
1,222,4263.64,NEW
20,282,4215.9,NEW
1,263,4206.39,NEW
17,35,4199.85,NEW
3,196,4193.04,NEW
9,210,4191,NEW
15,285,4169.16,NEW
31,215,4167.22,NEW
16,46,4160.41,NEW
31,152,4151.93,NEW
20,234,4147.96,NEW
4,216,4113.68,NEW
2,436,4113.24,NEW
1,381,4098.94,NEW
74,135,4098.88,RISK
1,186,4098.32,NEW
17,252,4095.9,NEW
4,199,4090.88,NEW
8,214,4076.91,NEW
98,2,4055.72,LOST
4,182,4051.48,NEW
10,925,4034.9,NEW
12,166,4023.72,NEW
49,18,4020.04,RISK
22,34,4017.84,RISK
10,238,4017.54,NEW
26,534,4009.34,NEW
1,169,3989.57,NEW
65,192,3984.32,RISK
12,818,3976.08,NEW
4,355,3974.75,NEW
18,92,3973.29,NEW
7,567,3961.12,NEW
8,94,3957.78,NEW
13,304,3957.43,NEW
12,232,3945,NEW
17,184,3931.29,NEW
4,212,3923.86,NEW
10,208,3901.81,NEW
2,97,3886.06,NEW
2,237,3883.25,NEW
3,1,3861,BEST
114,72,3859.82,RISK
11,187,3852.3,NEW
24,163,3843.88,NEW
2,96,3837.45,NEW
11,187,3834.26,NEW
7,138,3813.53,NEW
5,101,3809.89,NEW
9,224,3799.49,NEW
18,258,3789.52,NEW
47,160,3786.24,RISK
48,332,3775.95,RISK
5,86,3766.6,NEW
90,222,3756.33,RISK
47,11,3742.2,RISK
66,109,3740.07,RISK
15,126,3738.4,NEW
1,194,3719.12,NEW
24,135,3718.8,NEW
109,69,3717.35,RISK
18,138,3711.77,NEW
43,185,3709.56,RISK
169,194,3703.29,RISK
23,198,3699.26,NEW
5,431,3698.49,NEW
67,123,3683.86,RISK
29,312,3683.26,NEW
51,194,3672.86,RISK
23,647,3666.94,NEW
1,157,3641.32,NEW
8,282,3640.67,NEW
32,172,3639.31,NEW
264,69,3638.41,RISK
7,275,3631.17,NEW
1,253,3628.5,NEW
126,73,3613.63,RISK
45,123,3613.15,RISK
9,438,3611.31,NEW
53,97,3610.96,RISK
11,687,3603.29,NEW
29,71,3599.73,RISK
1,187,3590.41,NEW
2,200,3586.03,NEW
8,292,3579.86,NEW
41,229,3560.32,RISK
36,148,3560.08,RISK
3,164,3543.26,NEW
8,138,3536.38,NEW
24,183,3535.83,NEW
3,182,3534.31,NEW
31,229,3518.03,NEW
7,20,3515.68,NEW
11,95,3511.8,NEW
10,97,3509.43,NEW
52,78,3506.54,RISK
82,265,3502.32,RISK
5,367,3485.59,NEW
3,202,3482.74,NEW
12,357,3482.48,NEW
24,369,3470.02,NEW
43,121,3466.36,RISK
11,110,3466.28,NEW
84,122,3450.84,RISK
5,636,3450.41,NEW
50,84,3447.4,RISK
8,390,3445.18,NEW
4,583,3444.54,NEW
1,178,3444.39,NEW
39,176,3442.15,RISK
16,192,3439.08,NEW
19,202,3435.76,NEW
42,193,3432.8,RISK
25,97,3408.48,RISK
19,404,3408.2,NEW
14,167,3408.06,NEW
43,68,3406.72,RISK
121,126,3403.43,RISK
10,226,3401.24,NEW
33,142,3397.93,RISK
66,125,3386.71,RISK
26,175,3350.96,NEW
11,189,3349.57,NEW
3,495,3349.01,NEW
18,172,3347.71,NEW
8,73,3347.31,NEW
53,175,3339.64,RISK
4,634,3315.05,NEW
67,207,3313.79,RISK
61,158,3312.25,RISK
53,138,3295.76,RISK
16,167,3285.31,NEW
14,251,3284.67,NEW
1,152,3282.6,NEW
88,180,3279.97,RISK
127,10,3276.4,RISK
218,137,3251.071,RISK
1,104,3231.47,NEW
60,149,3222.3,RISK
2,372,3213.59,NEW
18,31,3204.16,RISK
7,33,3192.54,NEW
9,233,3192.17,NEW
64,130,3189.81,RISK
4,48,3188.4,NEW
24,467,3187.55,NEW
96,308,3185.64,RISK
50,110,3178.17,RISK
18,433,3174.75,NEW
2,321,3171.23,NEW
31,165,3170.98,RISK
31,6,3166.4,BEST
38,155,3158.13,RISK
12,540,3146.92,NEW
75,79,3144.86,RISK
3,141,3130.44,NEW
12,531,3124.72,NEW
21,159,3121.97,NEW
3,39,3119.44,NEW
8,188,3115.01,NEW
72,36,3113.4,RISK
3,163,3109.99,NEW
17,313,3107.87,NEW
16,250,3104.17,NEW
95,154,3100.09,RISK
64,106,3099.72,RISK
96,127,3099.12,RISK
197,1,3096,LOST
9,128,3092.04,NEW
9,166,3090.74,NEW
17,176,3090.73,NEW
123,304,3083.65,RISK
37,504,3080.22,NEW
3,166,3078.58,NEW
59,186,3075.05,RISK
23,75,3075.04,RISK
100,11,3070.42,RISK
52,305,3049.88,RISK
6,300,3039.22,NEW
22,404,3039.17,NEW
85,79,3029.87,RISK
82,70,3017.3,RISK
5,947,3017.28,NEW
40,185,3000.2,RISK
206,127,2997.03,RISK
9,166,2993.1,NEW
52,172,2984.49,RISK
4,138,2969.12,NEW
50,136,2965.69,RISK
47,544,2959.88,NEW
3,144,2953.59,NEW
139,103,2944.95,RISK
1,313,2941.34,NEW
64,151,2938.91,RISK
29,105,2924.99,RISK
61,77,2920.16,RISK
12,63,2919.81,NEW
41,236,2917.96,RISK
23,160,2915.15,NEW
10,165,2900.04,NEW
26,433,2898.26,NEW
1,157,2895.64,NEW
25,195,2883.54,NEW
17,152,2883.1,NEW
3,137,2883.03,NEW
39,87,2882.77,RISK
2,78,2879.7,NEW
4,165,2876.01,NEW
10,84,2874.72,NEW
32,155,2870.91,RISK
72,149,2867.2,RISK
26,213,2862.11,NEW
13,221,2861.55,NEW
2,317,2856.16,NEW
60,328,2854.84,RISK
10,345,2839.62,NEW
58,143,2836.69,RISK
44,145,2824.69,RISK
22,137,2812.34,NEW
9,86,2810.2,NEW
3,262,2804.54,NEW
21,350,2795.33,NEW
12,47,2791.35,NEW
24,122,2791.27,NEW
4,700,2790.95,NEW
5,189,2783.2,NEW
4,159,2780.15,NEW
9,543,2777.67,NEW
59,127,2775.28,RISK
2,115,2770.94,NEW
30,197,2760.56,NEW
19,149,2758.26,NEW
17,146,2751.66,NEW
71,95,2748.31,RISK
35,149,2747.99,RISK
78,126,2740.03,RISK
30,103,2735.37,RISK
144,113,2726.77,RISK
88,138,2726.23,RISK
8,40,2723.7,NEW
11,166,2720.63,NEW
40,231,2718.6,RISK
9,235,2711.68,NEW
33,168,2711.11,RISK
23,187,2709.12,NEW
1,132,2708.61,NEW
43,166,2707.33,RISK
17,115,2703.31,NEW
52,123,2703.23,RISK
8,147,2702.49,NEW
80,198,2698.45,RISK
306,140,2698.22,RISK
8,28,2686.42,NEW
12,29,2683.5,BEST
11,142,2674.48,NEW
67,4,2672,LOST
2,129,2671.73,NEW
8,106,2662.4,NEW
4,574,2662.18,NEW
3,253,2657.93,NEW
19,78,2657.13,NEW
96,81,2651.46,RISK
31,96,2647.59,RISK
56,201,2641.82,RISK
10,108,2639.17,NEW
64,119,2634.45,RISK
173,133,2628.35,RISK
64,127,2626.3,RISK
16,146,2624.26,NEW
2,134,2621.38,NEW
8,143,2618.23,NEW
4,131,2616.38,NEW
10,43,2614.74,NEW
30,56,2613.38,RISK
3,87,2612.96,NEW
23,142,2611.75,NEW
59,174,2610.36,RISK
56,127,2607.61,RISK
46,9,2600.34,RISK
11,106,2599.03,NEW
28,118,2593.07,RISK
31,135,2588.39,RISK
57,148,2580.91,RISK
31,450,2574.91,NEW
5,397,2573.93,NEW
7,175,2567.06,NEW
38,4,2560,BEST
5,501,2557.18,NEW
29,100,2555.58,RISK
17,162,2552.21,NEW
5,136,2551.06,NEW
31,42,2548.24,RISK
51,117,2538.3,RISK
17,142,2534.64,NEW
5,212,2533.42,NEW
9,253,2529.93,NEW
25,131,2527.92,RISK
11,327,2526.09,NEW
2,155,2520.02,NEW
2,276,2519.21,NEW
134,89,2515.84,RISK
68,116,2511.69,RISK
31,90,2504.13,RISK
1,254,2501.84,NEW
4,115,2495.87,NEW
4,452,2488.77,NEW
45,101,2481.13,RISK
3,162,2479.16,NEW
16,174,2478.95,NEW
11,84,2474.23,NEW
2,125,2474.21,NEW
12,93,2471.7,NEW
40,142,2468.33,RISK
33,144,2467.35,RISK
5,134,2463.17,NEW
10,31,2462.79,BEST
31,329,2461.24,NEW
38,302,2448.64,RISK
73,114,2446.6,RISK
87,52,2445.91,RISK
28,132,2432.65,RISK
20,608,2429.83,NEW
28,140,2429.03,RISK
19,162,2428.53,NEW
3,160,2427.32,NEW
10,145,2420.84,NEW
23,206,2415.72,NEW
60,253,2404.17,RISK
89,43,2398.86,RISK
156,304,2393.9,RISK
6,137,2392.83,NEW
85,135,2388.75,RISK
41,94,2386.05,RISK
7,120,2383.24,NEW
7,240,2381.59,NEW
43,112,2380.85,RISK
8,204,2379.54,NEW
16,41,2379.49,RISK
9,133,2375.47,NEW
132,85,2375.41,RISK
2,134,2373.82,NEW
80,122,2369.55,RISK
40,391,2366.95,RISK
10,141,2364.25,NEW
9,313,2363.25,NEW
36,296,2358.59,RISK
30,397,2358.03,NEW
52,80,2354.25,RISK
8,117,2352.53,NEW
39,118,2337.63,RISK
59,139,2332.15,RISK
33,83,2328.97,RISK
31,24,2328.84,RISK
4,136,2322.4,NEW
11,101,2314.65,NEW
26,114,2314.32,RISK
10,641,2312.66,NEW
5,134,2308.06,NEW
18,101,2298.93,NEW
12,120,2294.78,NEW
140,117,2293.62,RISK
8,129,2292.97,NEW
38,115,2285.71,RISK
10,203,2279.49,NEW
4,148,2274.14,NEW
30,92,2274.07,RISK
66,124,2273.68,RISK
64,132,2268.81,RISK
16,121,2263.12,NEW
89,46,2262.62,RISK
26,194,2248.63,NEW
37,135,2248.56,RISK
10,377,2248.5,NEW
79,116,2247.41,RISK
17,244,2245.66,NEW
33,254,2242.61,RISK
34,217,2242.36,RISK
53,112,2241.1,RISK
7,74,2237.77,NEW
3,129,2234.73,NEW
72,78,2232.49,RISK
34,128,2225.37,RISK
70,269,2225.15,RISK
168,115,2222.21,RISK
29,66,2214.79,RISK
29,190,2213.13,RISK
89,132,2212.61,RISK
36,67,2211.21,RISK
18,139,2209.36,NEW
113,8,2207.4,LOST
18,93,2206.95,NEW
7,106,2199.31,NEW
32,112,2195.1,RISK
256,22,2188.5,RISK
30,117,2188.05,RISK
5,462,2185.45,NEW
10,85,2183.54,NEW
40,91,2178.67,RISK
5,35,2173.88,NEW
8,311,2170.78,NEW
45,128,2166.98,RISK
2,129,2160.7,NEW
107,73,2157.73,RISK
4,108,2157.4,NEW
60,108,2155.95,RISK
8,28,2154.97,BEST
42,114,2148.63,RISK
43,62,2140.87,RISK
197,17,2139.76,RISK
60,141,2128.42,RISK
3,272,2122.53,NEW
25,145,2118.93,RISK
32,117,2118.03,RISK
70,30,2116.19,RISK
31,71,2114.33,RISK
4,321,2108.06,NEW
24,105,2107.38,RISK
87,31,2106.84,RISK
93,36,2106.52,RISK
148,180,2103.06,RISK
25,266,2102.54,NEW
64,49,2100.6,RISK
3,219,2097.88,NEW
126,206,2097.84,RISK
19,340,2097.57,NEW
67,112,2095.53,RISK
51,33,2093.32,RISK
53,90,2092.66,RISK
1,76,2092.32,NEW
8,59,2089.85,NEW
13,340,2088.94,NEW
4,127,2088.6,NEW
1,54,2085.08,NEW
10,100,2082.83,NEW
218,134,2082.46,RISK
8,98,2081.9,NEW
8,121,2081.61,NEW
13,168,2079.68,NEW
18,98,2076.89,NEW
11,87,2073.43,NEW
10,104,2073.09,NEW
192,123,2071.77,RISK
3,101,2069.19,NEW
1,325,2066.48,NEW
5,46,2066.01,NEW
16,116,2064.95,NEW
35,84,2062.7,RISK
72,17,2062.06,RISK
66,117,2055.51,RISK
31,65,2054.36,RISK
7,96,2050.08,NEW
53,135,2048.45,RISK
43,115,2048.07,RISK
4,721,2045.53,NEW
214,55,2044.37,RISK
27,178,2043.92,RISK
27,71,2043.72,RISK
4,110,2036.91,NEW
85,1,2033.1,LOST
5,71,2031.78,NEW
1,109,2027.5,NEW
36,231,2022.98,RISK
18,137,2022.81,NEW
81,17,2020.52,RISK
18,306,2020.4,NEW
108,127,2011.88,RISK
26,457,2009.24,NEW
137,27,2007.4,RISK
24,111,2004.3,RISK
33,81,2003.85,RISK
15,71,2001.04,NEW
227,5,1998,LOST
53,30,1992.11,RISK
28,115,1991.01,RISK
5,215,1987.33,NEW
11,87,1981.92,NEW
151,521,1981.06,RISK
66,233,1980.57,RISK
50,104,1980.56,RISK
16,117,1979.37,NEW
71,192,1975.35,RISK
4,61,1974.65,NEW
8,219,1972.39,NEW
25,77,1971.87,RISK
27,189,1964.3,RISK
11,82,1962.84,NEW
74,164,1962.46,RISK
25,35,1962.3,RISK
18,136,1961.52,NEW
43,193,1957.32,RISK
135,78,1957.1,RISK
33,289,1953.41,RISK
1,88,1952.45,NEW
25,62,1949.72,RISK
17,72,1945.33,NEW
4,124,1937.25,NEW
22,20,1936.32,BEST
4,125,1936.07,NEW
8,49,1932.23,NEW
22,117,1928.77,RISK
1,234,1926.65,NEW
64,210,1921.55,RISK
72,214,1921.37,RISK
21,27,1910.01,BEST
41,232,1907.44,RISK
49,123,1905.45,RISK
13,277,1904.99,NEW
7,111,1904.05,NEW
10,137,1903.75,NEW
1,462,1897.57,NEW
29,62,1892.65,RISK
105,119,1887.2,RISK
2,93,1886.68,NEW
51,125,1885.05,RISK
1,110,1883.81,NEW
18,89,1880.22,NEW
19,97,1879.05,NEW
23,107,1878.87,RISK
57,95,1877.59,RISK
5,127,1876.2,NEW
16,208,1875.86,NEW
30,3,1873.2,BEST
16,88,1870.97,NEW
22,102,1870.24,RISK
37,116,1869.82,RISK
4,76,1864.66,NEW
2,353,1863.76,NEW
3,111,1863.47,NEW
79,6,1862,LOST
3,101,1859.58,NEW
71,105,1858.96,RISK
8,132,1854.06,NEW
104,265,1852.67,RISK
4,89,1852,NEW
32,197,1843.83,RISK
5,119,1843.75,NEW
2,23,1843,NEW
42,57,1842.14,RISK
4,34,1840.42,NEW
3,59,1839.3,NEW
2,117,1838.85,NEW
29,214,1838.61,RISK
155,37,1837.92,RISK
43,70,1837.28,RISK
17,96,1836.34,NEW
61,90,1835.7,RISK
40,102,1833.71,RISK
269,29,1829.04,RISK
26,142,1827.8,RISK
30,74,1824.37,RISK
50,89,1824.23,RISK
3,103,1823.52,NEW
8,85,1822.97,NEW
14,135,1819.41,NEW
73,86,1819.37,RISK
27,76,1817.94,RISK
6,123,1814.12,NEW
7,337,1810.65,NEW
46,109,1804.56,RISK
26,86,1802.91,RISK
107,41,1801.14,RISK
53,69,1800.07,RISK
82,82,1799.33,RISK
11,110,1797.78,NEW
61,91,1797.5,RISK
72,104,1796.48,RISK
86,98,1793.58,RISK
9,90,1793.17,NEW
8,357,1793.06,NEW
1,115,1791.56,NEW
16,70,1790.45,NEW
1,92,1788.36,NEW
54,104,1786.79,RISK
4,20,1785.15,BEST
4,112,1784.33,NEW
52,117,1778.96,RISK
50,124,1774.03,RISK
16,103,1771.78,NEW
14,11,1771.2,BEST
73,44,1770.34,RISK
18,63,1766.72,RISK
31,25,1764.72,RISK
75,5,1759.5,LOST
67,110,1756.44,RISK
7,66,1750.92,NEW
6,76,1747.66,NEW
78,82,1744.76,RISK
32,97,1744.71,RISK
109,203,1744.31,RISK
61,31,1743.15,RISK
13,134,1742.38,NEW
46,30,1741.84,RISK
49,87,1741.22,RISK
20,102,1740.6,RISK
36,39,1740.48,RISK
129,8,1740,LOST
127,19,1737.7,RISK
25,76,1737.69,RISK
32,102,1735.18,RISK
71,52,1730.65,RISK
33,139,1727.6,RISK
1,100,1721.4,NEW
18,67,1720.3,RISK
22,11,1717.36,BEST
29,104,1715.46,RISK
63,15,1714.96,RISK
23,81,1714.59,RISK
22,40,1714.25,RISK
1,51,1712.89,NEW
5,184,1710.45,NEW
83,29,1708.24,RISK
116,44,1706.88,RISK
45,78,1706.57,RISK
154,82,1705.8,RISK
29,314,1705.78,NEW
17,250,1703.65,NEW
21,21,1703.64,BEST
66,103,1702.26,RISK
8,42,1700.98,NEW
36,32,1699.3,RISK
33,46,1698.94,RISK
14,348,1698.07,NEW
48,381,1693.81,RISK
220,108,1693.45,RISK
28,6,1692.27,BEST
195,14,1689.5,RISK
122,79,1688.29,RISK
25,83,1687.6,RISK
130,89,1685.46,RISK
18,215,1682.34,NEW
77,114,1681.46,RISK
14,86,1676.06,NEW
73,82,1674.69,RISK
9,395,1673.68,NEW
15,179,1668.95,NEW
1,89,1664.65,NEW
4,222,1664.43,NEW
3,24,1662.3,BEST
2,110,1661.44,NEW
10,279,1660.88,NEW
12,168,1659.99,NEW
43,95,1659.6,RISK
56,68,1654.31,RISK
8,426,1652.18,NEW
3,22,1651.03,BEST
90,108,1649.5,RISK
10,78,1648.12,NEW
60,291,1647.48,RISK
54,24,1647.26,RISK
9,88,1646.84,NEW
73,101,1645.16,RISK
80,35,1644.01,RISK
59,92,1638.47,RISK
114,82,1633.78,RISK
71,29,1631.77,RISK
23,92,1630.32,RISK
5,102,1625.97,NEW
30,63,1624.91,RISK
108,78,1624.21,RISK
52,111,1624.14,RISK
9,110,1624.05,NEW
12,102,1623.72,NEW
10,42,1621.73,BEST
15,80,1618.69,NEW
3,128,1616.8,NEW
17,90,1614.91,NEW
11,93,1614.31,NEW
44,75,1612.69,RISK
47,87,1611.59,RISK
116,45,1610.15,RISK
106,87,1600.89,RISK
9,318,1600.26,NEW
9,95,1599.52,NEW
34,146,1595.96,RISK
129,93,1595.48,RISK
1,218,1594.97,NEW
163,75,1594.23,RISK
34,89,1592.12,RISK
68,34,1592.06,RISK
10,43,1591.45,BEST
129,97,1590.81,RISK
24,195,1585.46,RISK
28,164,1583.57,RISK
28,151,1582.8,RISK
2,235,1581.84,NEW
19,371,1580.29,NEW
195,135,1578.67,RISK
40,79,1575.89,RISK
88,55,1575.03,RISK
6,166,1570.81,NEW
20,150,1567.69,NEW
25,251,1564.73,NEW
175,57,1564.56,RISK
206,103,1563,RISK
123,186,1562.4,RISK
78,92,1560.38,RISK
57,83,1555.34,RISK
22,78,1555.32,RISK
57,100,1553.18,RISK
15,79,1551.78,NEW
16,178,1550.14,NEW
33,186,1547.36,RISK
52,40,1547.2,RISK
4,93,1545.62,NEW
18,117,1545.41,NEW
73,38,1544.13,RISK
42,162,1541.23,RISK
2,269,1539.49,NEW
22,101,1538.88,RISK
52,101,1537.95,RISK
4,154,1535.77,NEW
5,84,1535.53,NEW
104,64,1534.26,RISK
8,34,1533.92,BEST
78,105,1532.2,RISK
44,58,1531.62,RISK
11,123,1530.75,NEW
57,33,1530.36,RISK
2,230,1529,NEW
17,101,1521.04,NEW
57,90,1520.58,RISK
71,207,1519.42,RISK
163,55,1516.24,RISK
128,11,1516,LOST
18,69,1515.9,RISK
96,70,1513.9,RISK
33,84,1511.95,RISK
29,107,1511.8,RISK
4,545,1508.96,NEW
17,64,1508.72,RISK
151,82,1506.12,RISK
15,120,1504.27,NEW
21,106,1502.78,RISK
22,107,1497.31,RISK
92,97,1496.98,RISK
11,393,1493.96,NEW
86,49,1493.73,RISK
31,174,1491.43,RISK
8,79,1490.83,NEW
275,25,1489.5,RISK
31,145,1488.67,RISK
25,53,1488.32,RISK
130,2,1487.6,LOST
145,71,1484.06,RISK
333,92,1482.32,RISK
60,206,1482.06,RISK
32,122,1477.66,RISK
13,122,1476.09,NEW
130,20,1475.81,RISK
114,165,1475.43,RISK
111,75,1474.06,RISK
10,192,1472.34,NEW
60,102,1471,RISK
2,196,1468.02,NEW
108,47,1465.32,RISK
9,13,1463.04,BEST
49,35,1462.72,RISK
21,78,1461.14,RISK
9,35,1460.16,BEST
64,80,1459.88,RISK
10,139,1459.61,NEW
30,37,1456.96,RISK
7,107,1456.79,NEW
38,79,1454.58,RISK
59,105,1453.35,RISK
15,82,1449.54,NEW
197,89,1448.21,RISK
18,174,1446.09,NEW
32,102,1445.01,RISK
39,27,1445,RISK
44,63,1443.69,RISK
39,88,1443.21,RISK
4,323,1437.57,NEW
107,84,1431.93,RISK
191,86,1431.78,RISK
33,292,1430.54,RISK
7,48,1429.64,NEW
9,120,1429.35,NEW
29,66,1428.02,RISK
25,53,1426.16,RISK
50,271,1425.67,RISK
18,100,1422.52,RISK
21,82,1422.4,RISK
27,87,1421.69,RISK
47,66,1421.61,RISK
16,84,1418.32,RISK
2,15,1418.03,BEST
9,140,1417.63,NEW
32,222,1415.65,RISK
35,94,1415.29,RISK
24,90,1413.66,RISK
2,99,1412.32,NEW
9,214,1411.21,NEW
109,52,1405.78,RISK
3,130,1404.64,NEW
186,95,1403.76,RISK
68,371,1403.11,RISK
5,186,1402.59,NEW
18,45,1400.56,BEST
22,113,1400.44,RISK
40,44,1399.92,RISK
200,68,1396.99,RISK
15,86,1393.69,NEW
51,16,1393.06,RISK
79,89,1391.98,RISK
25,80,1391.56,RISK
134,24,1390.5,RISK
100,60,1390.27,RISK
21,44,1389.41,RISK
15,73,1387.99,RISK
6,79,1387.79,NEW
23,54,1385.51,RISK
23,37,1384.86,RISK
78,55,1384.85,RISK
206,33,1384.25,RISK
